MAE
0.166
0.14
0.301
0.189
0.235
0.342
0.2
0.102
0.226
0.314
0.259
0.155
0.124
0.133
0.22
0.144
0.273
0.14
MAE
0.086
0.077
0.301
0.189
0.235
0.342
0.2
0.054
0.226
0.314
0.259
0.155
0.124
0.133
0.22
0.144
0.273
0.14
